url	title	indirizzo	keyword_ristorante	ranking	total_ranking
https://www.ubereats.com/milano/food-delivery/cioccolatitaliani-navigli/DjT1eThqRsq8lc2B6tuxvA	Cioccolatitaliani - Navigli	Alzaia Naviglio Grande, 44, Milano, Lombardia 20144	$ • Ice Cream and Frozen Yogurt • Pastry • Desserts	4.4	(138)
https://www.ubereats.com/milano/food-delivery/donna-angela/pNcdhJH9QY2afqokR61lSQ	Donna Angela	Via Paolo Glovio 30, Milano, 20144	$$ • Pizza • Italian • Mediterranean • Vegetarian	3.9	(110)
https://www.ubereats.com/milano/food-delivery/mint-cafe/AiXnAZPZSg2XeEh9ARaJAQ	Mint Cafe	Viale Bligny, 15, Milano, 20136	$$ • Asian • Japanese • Noodles • Healthy	4.9	(38)
https://www.ubereats.com/milano/food-delivery/wagamama/5uyWYJBYSHKJdO2swZ9qZw	Wagamama	Via S. Pietro All'Orto, 11, 20121 Milano Mi, Italy, Italy 20121	$$ • Vegetariano • Asian Fusion • South East Asian	4.3	(76)
https://www.ubereats.com/milano/food-delivery/kona-milano/T1jUwrUiQ2-qol5184LoPQ	Kona Milano	Corso Di Porta Vittoria, 49, Milano, Lombardia 20122	$$ • Hawaiian • Healthy • Salads	4.5	(58)
https://www.ubereats.com/milano/food-delivery/don-raffaele-trattoria-pizzeria/lS-AZaSsQ-SiXCGr23AaSQ	Don Raffaele - Trattoria Pizzeria	Via Roncaglia, 3, Milano, 20146	$$ • Italian • Pasta • Steak • Pizza	4.5	(43)
https://www.ubereats.com/milano/food-delivery/grom-corso-xxii-marzo/hI6QKQ_nRmuANNsyoBI1Gg	GROM - Corso XXII Marzo	Corso Xxii Marzo, 5, Milano, Lombardia 20129	$ • Ice Cream and Frozen Yogurt • Desserts	4.7	(64)
https://www.ubereats.com/milano/food-delivery/grouse/dOlR3b4yQxWLLV6UCk2LXA	Grouse	Viale Monte Nero, 34, 20135 Milano Mi, Italy, Italy 20135	$ • Street Food • Italiano • Chicken	4.6	(51)
https://www.ubereats.com/milano/food-delivery/al-noor-ristorante-indiano/-kpU9SKnSHOlk1V4dpXDyQ	Al Noor - Ristorante Indiano	Via Giuseppe Ripamonti, 15, Milano, Lombardia 20135	$ • West Indian • Vegetarian Friendly	4.4	(43)
https://www.ubereats.com/milano/food-delivery/wok-on-the-go/6sGkT2IORfKxRpHEPPBRpg	Wok On The Go	Via Urbano Iii, 2, Milano, Lombardia 20123	$ • Seafood • Healthy • Thai	4.1	(14)
https://www.ubereats.com/milano/food-delivery/panino-giusto-xxiv-maggio/4Eu3Ch-0RtiqHHoIWOApjw	Panino Giusto - XXIV Maggio	Piazza Ventiquattro Maggio, 4, Milano, Lombardia 20123	$$ • Sandwich • Italian • Gourmet	4.7	(51)
https://www.ubereats.com/milano/food-delivery/long-bistrot-sushi/KgbtollaRmCj27PqDtUXrw	Long Bistrot - Sushi	Corso Luigi Manusardi, 20136 Milano Mi, Italia, Lombardia 20136	$$ • Sushi • Japanese	3.6	(64)
https://www.ubereats.com/milano/food-delivery/la-casa-de-los-burritos-bligny/qRhtpL4LRKK9Z5kLjWxyiQ	La Casa De Los Burritos - Bligny	Viale Bligny, 30, Milano, Lombardia 20136	$$ • Mexican • New Mexican • Tex Mex • American	3.8	(120)
https://www.ubereats.com/milano/food-delivery/different-burger/HaPL5U4-Q_2Uyt8weTtTrQ	Different Burger	Via Giambellino, 12, Milano, Lombardia 20146	$$ • Burgers	4.1	(30)
https://www.ubereats.com/milano/food-delivery/la-piadineria-bocconi/enbWcHm4RNSZyexqyRNcsQ	La Piadineria - Bocconi	Via Ferdinando Bocconi, 3, Milano, Lombardia 20136	$ • Italian • Mediterranean • Sandwich • Healthy	4.5	(65)
https://www.ubereats.com/milano/food-delivery/giragirarrosto-by-delivery-valley/0dqwV7uvRDqtD0ltf0uIsg	Giragirarrosto by Delivery Valley	8 Viale Col Di Lana, Milano, 20136	$ • Chicken • Wings • Street Food • Mediterranean	4.4	(55)
https://www.ubereats.com/milano/food-delivery/maui-poke/T2LEYI2xRTi-qTMED4ttCg	Maui Poke	Via S. Vittore Al Teatro, 3, Milano, Lombardia 20123	$$ • Hawaiian • Healthy • Seafood	4.1	(27)
https://www.ubereats.com/milano/food-delivery/ham-holy-burger-san-babila/PADGaw7TTfW6SsJqrx9SgA	Ham Holy Burger - San Babila	Via Durini, 28, Milano, Lombardia 20122	$ • Burgers • Sandwich • Vegan • American	3.9	(25)
https://www.ubereats.com/milano/food-delivery/coll-bubble-tea/97pKHga9QGKzGp99paF9iA	Coll Bubble Tea	Corso Di Porta Vittoria, 58, Milano, Lombardia 20122	$ • Bubble Tea • Coffee and Tea • Breakfast and Brunch	4.2	(38)
https://www.ubereats.com/milano/food-delivery/fresco-pizzeria-trattoria-cairoli/iopKYX91TSeiJoiBkTOUyg	Fresco Pizzeria Trattoria - Cairoli	Via Dante, 14, 20121 Milano Mi, Italia,	$ • Italian • Mediterranean • Pizza	4.4	(39)
https://www.ubereats.com/milano/food-delivery/penina-poke-bowl%26bubbletea/acFZ-YgTQ_OJmWdnov3l1A	Penina-poke. bowl&bubble.tea	Via Odoardo Tabacchi, 3, Milano, 20136	$ • Asian • Japanese • Sushi	4.4	(34)
https://www.ubereats.com/milano/food-delivery/taverna-visconti-pizzeria-partenopea/JhwINUz2STqJt0gWu8PJug	Taverna Visconti Pizzeria Partenopea	Via Filippo Corridoni 10, Milano, 20122	$ • Italian • Mediterranean • Pizza	4.6	(24)
https://www.ubereats.com/milano/food-delivery/california-bakery-via-larga/LtS3d_x1QMaEmk5oeQg6og	California Bakery - Via Larga	Via Larga, 19, Milano, Lombardia 20122	$$$ • American • Burgers • Desserts	4.2	(30)
https://www.ubereats.com/milano/food-delivery/ecopizza/Zk0bxbcASW-iXK7P2NF8tQ	Ecopizza	Corso Di Porta Romana, 54, 20122 Milano Mi, Italia,	$ • Pizza • Italian • Mediterranean	3.7	(48)
https://www.ubereats.com/milano/food-delivery/maido-savona/aY3alMlqRneXBBdX5eoBSg	Maido - Savona	Via Savona, 15, Milano, Lombardia 20144	$ • Japanese • Street Food • Asian • Japanese Style crurry	4.4	(34)
https://www.ubereats.com/milano/food-delivery/miscusi-colonne/7u1Wg17ZT8uzfhydmDboaA	miscusi - colonne	V. Urbano Iii 3, Milano, 20123	$ • Italian • Pasta • Mediterranean	4.5	(18)
https://www.ubereats.com/milano/food-delivery/ristorante-xing-long/vnpGBAZ9SgyMKKq0zNZoKA	Ristorante Xing Long	Via Tito Livio, 37, Milano, 20137	Noodles • Chinese	4.2	(135)
https://www.ubereats.com/milano/food-delivery/jin-fu/7hEkkgAXQ_uPi8VhE537Yw	Jin Fu	Viale Monte Nero, 48, Milano, Lombardia 20135	$$ • Sushi • Japanese • Vegetarian	3.9	(62)
https://www.ubereats.com/milano/food-delivery/wakou-giapponese-cinese/ZkpmGquGRZeVGckfGWzBHQ	Wakou - Giapponese Cinese	Via Giambellino 65 Milano, 20146	$$ • Asian Fusion • Asian • Japanese	3.9	(31)
https://www.ubereats.com/milano/food-delivery/i-capatosta-torricelli/J3feTbXhQiyh09Celrhmng	I Capatosta- Torricelli	Via Toricelli 13, Milano, 20136	$$ • Pizza • Pasta • Italian • Gourmet • Mediterranean	4.5	(34)
https://www.ubereats.com/milano/food-delivery/giga-burger-by-delivery-valley/HQHuMdXTQma6FTuEGft3gg	Giga Burger by Delivery Valley	Viale Col Di Lana, 8, Milano, Lombardia 20136	$ • Burgers • Aus Burger • BBQ • Street Food	4.4	(39)
https://www.ubereats.com/milano/food-delivery/tamo-burger-italiano/ahPjvWSXRxmch3Mg46dzWA	T'amo - Burger Italiano	Via Filippo Corridoni, 10, 20122 Milano Mi, Italy,	$ • Burgers	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/burrito-bar-bligny/7UBmB0ewSjK25w0LnBEwaQ	Burrito Bar - Bligny	Viale Bligny, 30, Milano, 20136	$ • Mexican • Latin American • Street Food	3.9	(15)
https://www.ubereats.com/milano/food-delivery/mcdonalds-galleria-fontana/wM_FUWQ7QT-8ibzkwauxrA	McDonald's® - Galleria Fontana	Galleria Ciro Fontana, 3, Milano, Lombardia 20121	$ • Fast Food • Wings • American	3.4	(11)
https://www.ubereats.com/milano/food-delivery/greenery-your-chopped-salad-brera/T_9WA9xjR22Ueu-KSL58Xg	Greenery - Your Chopped Salad - Brera	Via Broletto, 41, Milano, Lombardia 20121	Salads • Healthy • Vegetarian	3.5	(37)
https://www.ubereats.com/milano/food-delivery/hamericas-camperio/IgHLcJ94TQWInT6dP_ZxjA	Hamerica's - Camperio	Via Manfredo Camperio, 17, Milano, Lombardia 20121	$$ • American • Traditional American • Burgers	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/grom-conciliazione/8ryx0muiQuCrXXtd_NzYvQ	GROM - Conciliazione	Via Alberto Da Giussano, 1, Milano, Lombardia 20145	$ • Ice Cream and Frozen Yogurt • Desserts	4.8	(44)
https://www.ubereats.com/milano/food-delivery/unburger-tortona/qwtagkVwRhqkoX8kipNigw	Unburger 🍔🌱 - Tortona	22 Via California, Milano, 20144	$$ • Burgers • Vegan • Vegetarian • American	3.8	(19)
https://www.ubereats.com/milano/food-delivery/lievito-mother-fucker%3A-la-pizza-by-delivery-valley/RB0HYW9dTQO9l39WU8kVoQ	Lievito Mother Fucker: la pizza by Delivery Valley	Viale Col Di Lana, 8, Milano, Lombardia 20136	$ • Pizza • Italian • Mediterranean • Street Food	3.4	(16)
https://www.ubereats.com/milano/food-delivery/seoul-ristorante-coreano/qpTEuPySSyyNuvKwlj-a0A	Seoul Ristorante Coreano	Corso Cristoforo Colombo, 4, Milano, Lombardia 20144	$$ • Asian • Allergy Friendly	4.6	(42)
https://www.ubereats.com/milano/food-delivery/nietta-pizzeria-friggitoria/LGMBlLuvRuqvs953NFPagw	Nietta Pizzeria Friggitoria	Via Carlo Freguglia 2, Milano, 20122	$$ • Italian • Pizza • Friterie	4.2	(31)
https://www.ubereats.com/milano/food-delivery/pokinho-duomo/S3_vlbsyQP6gftJOx-Y8ow	Pokinho - Duomo	Via Guglielmo Marconi, 4, 20122 Milano Mi, Italia,	$$ • Japanese • Sushi • Asian Fusion • Rice-bowls • Seafood	3.9	(34)
https://www.ubereats.com/milano/food-delivery/buona-forchetta/BjVQBveMTv6fjgVoGJNQeQ	Buona Forchetta	Via Casale, 5, 20144 Milano Mi, Italy,	$ • Pasta • Italiano • Mediterraneo	4.2	(20)
https://www.ubereats.com/milano/food-delivery/il-grande-puffo-pizza-kebab/dEgDmIVwQ9m894f__GCCWQ	Il Grande Puffo Pizza Kebab	Viale Umbria, 9, Milano, Lombardia 20135	$ • Arabian • Middle Eastern • Pizza	4.4	(16)
https://www.ubereats.com/milano/food-delivery/ben-%26-jerrys-porta-romana/d34oCQr4TlmPeytdYhhqHg	Ben & Jerry's - Porta Romana	Viale Bligny, 30, Milano, 20136	$ • Ice Cream and Frozen Yogurt	4.7	(26)
https://www.ubereats.com/milano/food-delivery/pizzeria-da-mimmo/z8PlPv_ZTdK8Iyyr6HH8TQ	Pizzeria Da Mimmo	Via Francesco Brioschi, 41, 20141 Milano, Italy, Lombardia 20141	$ • Pizza	3.6	(14)
https://www.ubereats.com/milano/food-delivery/rossopomodoro-the-brian-%26-barry-building/XDob8l1XTKqPGhN-aNmcNw	Rossopomodoro - The Brian & Barry Building	Via Durini, 28, Milano, Lombardia 20122	$ • Italian • Mediterranean • Pizza	4.4	(19)
https://www.ubereats.com/milano/food-delivery/pokewave/4au3mx1STOSydYmpYdX1Ig	Pokewave	Via Giorgio Washington, 72, 20146 Milano Mi, Italia, Lombardia 20146	$$ • Vegan • Vegetarian • Desserts • Allergy Friendly	4.4	(31)
https://www.ubereats.com/milano/food-delivery/frankly-via-torino/1Uh_afiFS8SaSJ_m4VjpaA	Frankly - Via Torino	Via Torino, 77, Milano, 20123	$ • Bubble Tea • Desserts • Coffee and Tea	4.8	(17)
https://www.ubereats.com/milano/food-delivery/pizzeria-passione/0kd4wWeLRRWGfw52J_3iZA	Pizzeria Passione	Via Giacomo Boni, 33, Milano, 20144	$$ • Pizza • Pasta • Italian	4.3	(15)
https://www.ubereats.com/milano/food-delivery/ciccio-pizza-giambellino/L-1kkVprTm-PJsR2hot5vw	Ciccio Pizza - Giambellino	Via Giambellino, 56, Milano, Lombardia 20146	$ • Pizza • Italian • Mediterranean	4.5	(18)
https://www.ubereats.com/milano/food-delivery/panino-giusto-duomo/MAU-2ltzRfupAlbWPvKvxw	Panino Giusto - Duomo	Via Agnello, 6, Milano, Lombardia 20121	$$ • Sandwich • Italian • Deli	4.9	(51)
https://www.ubereats.com/milano/food-delivery/ckn%26ckn-ticinese/6rqqolMASSaYgUiZk9qlFQ	CKN&CKN - Ticinese	Piazza Ventiquattro Maggio, 4, 20123 Milano Mi, Italy,	$ • Chicken • Wings • Fast Food	4.5	(17)
https://www.ubereats.com/milano/food-delivery/poke-flower-milano/yiB2-QDYRsC9jR7kMYCWWw	Poke Flower-Milano	Viale Bligny 37, Milano, 20136	$ • Sushi • Rice-bowls • Seafood • Salads	4.4	(16)
https://www.ubereats.com/milano/food-delivery/sushisu/nSCeAarxS4mzgBuXzi1F5w	SushiSu	Via Andrea Solari 72, Milano, 20144	$$ • Sushi • Japanese • Asian	3.8	(19)
https://www.ubereats.com/milano/food-delivery/laltro-tramezzino/6vUKjDYTSfSNOGlWbtgRug	L'Altro Tramezzino	Via Lupetta, 5, 20123 Milano Mi, Italy,	$ • Italian • Mediterranean • Sandwich	3.9	(11)
https://www.ubereats.com/milano/food-delivery/raj-ristorante-indiano/TnRmowXjS_2z0LViSg2wmA	Raj Ristorante Indiano	Via Lodovico Il Moro, 13, 20143 Milano, Italy, Lombardia 20143	$$ • Indian	4.6	(10)
https://www.ubereats.com/milano/food-delivery/il-priscio-duomo/MI5t2UqaQDilIaSOWQ67TA	Il Priscio - Duomo	Via Santa Tecla, 5, Milano, Lombardia 20122	$ • Pizza • Italian • Mediterranean	4.4	(18)
https://www.ubereats.com/milano/food-delivery/calibreakfast-tribunale/O_OeuV2mSPCMxt3rPt0btA	CaliBreakfast - Tribunale	Via Carlo Freguglia, 2, Milano, Lombardia 20122	$$ • Vegetarian • Breakfast and Brunch • Healthy • American	3.5	(15)
https://www.ubereats.com/milano/food-delivery/pizzeria-san-cristoforo/T-WLH7e6RbmHVhCKcq0H4g	Pizzeria San Cristoforo	Ripa Di Porta Ticinese, 125, Milano, Lombardia 20143	$ • Italian • Mediterranean • Pizza	3.5	(11)
