url	title	indirizzo	keyword_ristorante	ranking	total_ranking	company	macro_area	orario_apertura	new_title	lat	lng	google_address	place_id	distanza	distanza_value	distanza_text	quantile
https://deliveroo.it/menu/milano/missori/la-piadineria-di-michele?day=today&geohash=u0nd8be8xnqv&time=ASAP	La Piadineria Di Michele	Corso di Porta Romana 7 Milano 20122	Sandwich	4.3	14 	delivero	Missori	Aperti fino alle 16:00	la piadineria di michele	45.4597185	9.1899756	Corso di Porta Romana, 7, 20122 Milano MI, Italy	ChIJqznqvKnGhkcRvbfb3ce6GlE	{'text': '3.4 km', 'value': 3440}	3.4	3440	3_long
https://www.ubereats.com/milano/food-delivery/pulled-lovers/dXnmUPoeTNuAisnOIw-R0w	Pulled Lovers	Viale Bligny 43 Milano Lombardia 20136	Hamburger	4.3		uber			pulled lovers	45.4580918	9.1897577	Via S. Senatore, 6, 20122 Milano MI, Italy	ChIJr06Q16nGhkcRdX3o5k_kKfI	{'text': '3.5 km', 'value': 3460}	3.5	3460	3_long
https://deliveroo.it/menu/milano/darsena/california-bakery-piazza-santeustorgio-4?day=today&geohash=u0nd8be8xnqv&time=ASAP	California Bakery	Piazza Sant'Eustorgio 4 Milano 20122	Hamburger	4.5	50+ 	delivero	Darsena	Aperti fino alle 22:00	california bakery	45.4532731	9.1806855	Piazza Sant'Eustorgio, 4, 20122 Milano MI, Italy	ChIJr0ANWgfEhkcR6D6DXT2-8WU	{'text': '2.6 km', 'value': 2641}	2.6	2641	2_average
https://www.ubereats.com/milano/food-delivery/california-bakery-via-san-vittore/wgF1LXVORHCKc2Nv_rZUvg	California Bakery - Via San Vittore	Via San Vittore 20123 Milano Mi Italia Lombardia 20123	Hamburger	4.5		uber			california bakery via san vittore	45.4623056	9.1740721	Via San Vittore, 2, 20123 Milano MI, Italy	ChIJr0ANWgfEhkcRRhjY51_cJjo	{'text': '3.8 km', 'value': 3787}	3.8	3787	3_long
https://www.ubereats.com/milano/food-delivery/pausa-your-italian-break/5du6sdrKQUieZ_cXEYDPtw	Pausa Your Italian Break	Via Cesare Correnti 28 20123 Milano Mi Italia Italy 20123	Pasta	4.5		uber			pausa your italian break	45.4593661	9.1786798	Via Cesare Correnti, 28, 20123 Milano MI, Italy	ChIJr0vVK7DBhkcRsZm1xSdNPT0	{'text': '2.7 km', 'value': 2652}	2.7	2652	2_average
https://www.ubereats.com/milano/food-delivery/ambaradan-sicilia/f2gGqx7xT7eoX32K2jcRPQ	Ambaradan Sicilia	Viale Bligny 25 Milano 20136	FastFood	4.5		uber			ambaradan sicilia	45.4510613	9.1929185	Viale Bligny, 25, 20136 Milano MI, Italy	ChIJr3_TI5rFhkcRjy4Jz9htqaA	{'text': '1.9 km', 'value': 1936}	1.9	1936	1_short
https://deliveroo.it/menu/milano/medaglie-doro/giannasi-dal-1967?day=today&geohash=u0nd8be8xnqv&time=ASAP	Giannasi Dal 1967	Piazza Bruno Buozzi 2 Milano 20135	FastFood	4.7	50+ 	delivero	Medaglie d'oro	Aperti fino alle 20:00	giannasi dal 1967	45.4496487	9.206024099999999	Piazza Bruno Buozzi, 2, 20135 Milano MI, Italy	ChIJr4SqDCPEhkcRvuyR9igtzBU	{'text': '3.1 km', 'value': 3053}	3.1	3053	2_average
https://deliveroo.it/menu/milano/tortona/pasta-e-coccole?day=today&geohash=u0nd8be8xnqv&time=1245	Mare in pasta	Via Giuseppe Codara 1 Milano 20144	Pasta	4.2	14 	delivero	Tortona	Apre a 18:15	mare in pasta	45.4551522	9.1733614	Piazzale Antonio Cantore, 20144 Milano MI, Italy	ChIJr7eHG4bDhkcRlRjlDhXlYIY	{'text': '2.0 km', 'value': 2016}	2.0	2016	1_short
https://www.ubereats.com/milano/food-delivery/ckn%26ckn-ticinese/6rqqolMASSaYgUiZk9qlFQ	CKN&CKN - Ticinese	Piazza Ventiquattro Maggio 4 20123 Milano Mi Italy	Hamburger	4.5	(17)	uber			ckn ckn ticinese	45.4532803	9.1802054	Piazza Ventiquattro Maggio, 4, 20123 Milano MI, Italy	ChIJr7zTpvjDhkcRiyqTyhmO-ag	{'text': '2.6 km', 'value': 2607}	2.6	2607	2_average
https://deliveroo.it/menu/milano/medaglie-doro/pizzeria-pulcinella?day=today&geohash=u0nd8be8xnqv&time=ASAP	Pizzeria Pulcinella- Sapori di Puglia	Via Crema 23 Milano 20135	Pizza	4.3	50+ 	delivero	Medaglie d'oro	Aperti fino alle 22:00	pizzeria pulcinella sapori di puglia	45.4482769	9.203112299999999	Via Crema, 23, 20135 Milano MI, Italy	ChIJr8NbDyTFhkcRZJcMoiemP0M	{'text': '2.8 km', 'value': 2846}	2.8	2846	2_average
